word,grade,set (week),definition,sentence
prepare,3,17,to get ready for something,We prepare our lunches the night before school.
culture,3,17,"the customs, beliefs, arts, and ways of life shared by a group",Food can teach us about another culture.
delta,3,17,an area of land where a river splits into smaller channels near its mouth,Rich soil formed in the river delta.
bayou,3,17,"a slow-moving stream or swampy waterway, especially in the southern United States",Cypress trees grew beside the bayou.
interact,3,17,to communicate or act with one another,Students interact during the group activity.
establish,3,17,to start or create something meant to last,The town decided to establish a new park.
fly,3,18,to move through the air,Birds use their wings to fly.
born,3,18,brought into life,The puppy was born in the spring.
smell,3,18,to notice an odor with your nose,I can smell bread baking.
sometimes,3,18,on some occasions but not always,Sometimes we eat lunch outside.
mountains,3,18,very high areas of land rising above the land around them,Snow covered the tops of the mountains.
worn,3,18,used or damaged from being used for a long time,His old shoes were worn at the soles.
fourth,3,18,number four in order,She was fourth in line.
war,3,18,a period of armed fighting between countries or groups,The history book explained how the war ended.
horse,3,18,a large four-legged animal often ridden or used for work,The horse trotted around the field.
morning,3,18,the early part of the day before noon,We eat breakfast in the morning.
poured,3,18,made a liquid flow from one container to another,She poured water into the glass.
portrait,3,18,a picture of a person,The artist painted a portrait of her grandmother.
contrast,3,18,a clear difference between two things,The bright flower made a strong contrast with the dark leaves.
value,3,18,"how useful, important, or worth something is",The old photo has special value to our family.
shadow,3,18,a dark shape made when something blocks light,My shadow stretched across the sidewalk.
blood,3,18,the red liquid that moves through the body and carries oxygen and nutrients,The heart pumps blood through the body.
verb,3,19,a word that shows an action or state of being,The word 'run' is a verb.
young,3,19,not old; having lived for only a short time,The young tree is only two years old.
talk,3,19,to speak with someone,We talk quietly during group work.
pulled,3,19,moved something toward yourself or in a direction by using force,He pulled the wagon up the hill.
list,3,19,a group of items written one after another,I made a list of books to read.
here,3,19,in this place,Please put your backpack here.
hear,3,19,to notice sound with your ears,I can hear birds outside.
bare,3,19,not covered,His bare feet touched the sand.
bear,3,19,"a large, furry mammal with a strong body",We saw a bear from a safe distance.
way,3,19,"a method, direction, or path",There is more than one way to solve the problem.
weigh,3,19,to find how heavy something is,We weigh the pumpkin on a scale.
telescope,3,19,an instrument that makes faraway objects look closer,We used a telescope to look at the moon.
magnify,3,19,to make something look larger,A lens can magnify tiny letters.
planets,3,19,large round objects that travel around a star,Earth and Mars are planets in our solar system.
reflect,3,19,"to send light, heat, or sound back from a surface",A mirror can reflect light.
mirror,3,19,a smooth surface that reflects an image,I saw my reflection in the mirror.
sugar,3,20,a sweet substance used in foods and drinks,The recipe uses one spoonful of sugar.
being,3,20,existing or living,Being kind can make someone’s day better.
leave,3,20,to go away from a place,We leave for school at eight o’clock.
noun,3,20,"a word that names a person, place, thing, or idea",The word 'dog' is a noun.
it’s,3,20,it is or it has,It’s time to start class.
flower,3,20,the part of a plant that often has colorful petals,A yellow flower opened in the garden.
flour,3,20,a fine powder made from grain and used in baking,We used flour to make bread.
bored,3,20,feeling tired of having nothing interesting to do,I felt bored during the long wait.
board,3,20,"a long, flat piece of wood or another material",We painted the wooden board.
hair,3,20,thin strands that grow from the skin of people and many animals,She tied her hair back.
hare,3,20,an animal like a large rabbit with long ears and strong legs,The hare ran across the field.
clear,3,20,"easy to see, hear, or understand",The teacher gave clear directions.
fraction,3,20,a number that represents part of a whole,One-half is a fraction.
numerator,3,20,the top number in a fraction,"In three-fourths, three is the numerator."
denominator,3,20,the bottom number in a fraction,"In three-fourths, four is the denominator."
improper,3,20,"not correct or suitable; in math, describing a fraction with a numerator at least as large as its denominator",Seven-fourths is an improper fraction.
perfect,3,21,as good or complete as possible for a purpose,The sunny day was perfect for a picnic.
curled,3,21,formed or moved into a curved or spiral shape,The cat curled its tail around its paws.
church,3,21,a building used for Christian worship,The old church has a tall bell tower.
firm,3,21,"solid, steady, or not easily moved",The mattress felt firm.
skirt,3,21,a piece of clothing that hangs from the waist,She wore a blue skirt.
clerk,3,21,a person who helps customers or keeps records,The store clerk helped us find the item.
shirt,3,21,clothing worn on the upper body,He wore a blue shirt.
person,3,21,one human being,Each person chose a partner.
terms,3,21,"words, conditions, or parts used in a particular subject or agreement",We learned new math terms today.
jerked,3,21,"moved suddenly with a quick, sharp motion",The rope jerked when the dog pulled it.
burned,3,21,was damaged or changed by heat or fire,The toast burned because it stayed in too long.
desert,3,21,a very dry region that gets little rain,Cacti can survive in the desert.
climate,3,21,the usual weather of a place over a long time,"The region has a warm, dry climate."
